l-base_x,l-base_y,l-base_z,l-base_error,l-base_ncams,l-base_score,l-edge_x,l-edge_y,l-edge_z,l-edge_error,l-edge_ncams,l-edge_score,l-middle_x,l-middle_y,l-middle_z,l-middle_error,l-middle_ncams,l-middle_score,r-base_x,r-base_y,r-base_z,r-base_error,r-base_ncams,r-base_score,r-edge_x,r-edge_y,r-edge_z,r-edge_error,r-edge_ncams,r-edge_score,r-middle_x,r-middle_y,r-middle_z,r-middle_error,r-middle_ncams,r-middle_score,M_00,M_01,M_02,M_10,M_11,M_12,M_20,M_21,M_22,center_0,center_1,center_2,fnum
-5.741303455504442,3.4400312879629937,307.965953454179,5.209482353757775,2.0,0.9348524808883667,-5.626991719957004,6.395698224614429,312.3719306095475,4.599459416431616,2.0,0.9749436974525452,-8.866673762568153,6.74747499341531,309.59770266705954,1.0512558615775363,2.0,0.9849112629890442,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10
-5.728914392404996,3.4913354558049625,307.919058220666,5.705811256685427,2.0,0.9569036960601807,-5.653837562886326,6.3970868481595575,312.18282823242095,4.416653823227874,2.0,0.9560902714729309,-8.791330846619498,6.728988926304055,309.6964373255176,1.601530615924298,2.0,0.9808515310287476,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11
-5.87244974963233,3.685250560034138,307.94181247181115,6.035696216923535,2.0,0.9278322458267212,-5.67867318322134,6.420277927335544,312.4497248999303,4.545819308442864,2.0,0.9732409715652466,-8.834820705627436,6.7338805636846715,309.40807378123753,1.0280047663026388,2.0,0.9771466851234436,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12
-5.904209329279053,3.8623705741422936,307.8384462964853,6.588970039936055,2.0,0.9192675352096558,-5.555354241287544,6.392374338984809,312.1256320321389,4.935960471836694,2.0,0.9731072187423706,-8.803380776985012,6.762298632961093,309.29060511102165,0.782680401986448,2.0,0.981431245803833,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13
-5.931206021383292,3.8044935533998268,307.60361240103754,6.549621430100986,2.0,0.9503051042556763,-5.590147393385172,6.405841409280042,311.93932404483104,5.179895027692801,2.0,0.9758337140083313,-8.805673800109068,6.762217275533203,309.42066504638933,0.6687750646243442,2.0,0.9777847528457642,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14
-5.8816810487444275,3.9175585959472636,307.45068141955755,6.452418560850802,2.0,0.8812741041183472,-5.65713903984003,6.425762780953847,312.25290405431264,4.773204544333769,2.0,0.9744608402252197,-8.834867249162894,6.773911632694724,309.3313048195469,0.8583248919241266,2.0,0.9880618453025818,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15
-5.943190713658923,4.0215663426953,307.12317223064764,5.119178693191374,2.0,0.9083060026168823,-5.647793610452966,6.466986717719188,312.17675818017875,4.495622139954958,2.0,0.9762440919876099,-8.848020961509718,6.805023230805148,309.2007546850141,0.9467970956999436,2.0,0.9869688749313354,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16
-5.807188842495981,3.7429223983418503,308.00308963161217,6.342747741346665,2.0,0.9463157653808594,-5.6657022435150495,6.399773719775963,312.28603088469896,4.451334906009073,2.0,0.9575412273406982,-8.767579255989242,6.747858872506291,309.73325821718396,0.7023661693878054,2.0,0.9905006885528564,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17
-5.824127283036334,3.8081799329558383,307.83835999726256,6.872834816039586,2.0,0.8852558135986328,-5.670808524626304,6.444659636087936,312.2167059707227,4.493353045485159,2.0,0.9580240249633789,-8.764615735030045,6.713514739527498,310.12321106420296,0.9082862551418531,2.0,0.9854795932769775,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18
-5.807451706811324,3.872576625454936,307.9540126921918,7.410696733639918,2.0,0.9019685983657837,-5.690487715908354,6.5037410342987325,312.41265908320673,5.29701270561616,2.0,0.9574897289276123,-8.79275770227715,6.731253280169819,310.1936279283171,0.961387553832787,2.0,0.9831727743148804,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19
-5.862866056039261,3.933580446687329,307.4768150165054,6.198803699864323,2.0,0.9589791297912598,-5.692702327348983,6.434939085841075,312.2402281945023,4.463287879630745,2.0,0.9703311920166016,-8.877503455482175,6.767772466620496,309.9192910713067,1.0549118272098896,2.0,0.9882856607437134,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20
-5.872659821107448,4.0714152695760735,307.30423698483656,5.311212915263105,2.0,0.9548826217651367,-5.665677756595628,6.471892072190523,312.5726510451666,5.328589669978411,2.0,0.9639534950256348,-8.832269077691436,6.735694702508195,309.978388576234,1.022191391243045,2.0,0.9793810844421387,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21
